BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-04-19,НЛМК ао,NLMK,9685,383520757.3,87.87,87.42,91.44,90.7,90.17,90.7,4252330,90.19,90.19,90.7,383520757.3,383520757.3,383520757.3,,3
TQBR,2016-04-20,НЛМК ао,NLMK,13137,532704376.3,90.09,88.96,94.8,94.7,92.57,94.7,5754070,92.58,92.58,94.7,532704376.3,532704376.3,532704376.3,,3
TQBR,2016-04-21,НЛМК ао,NLMK,10089,425803291.7,94.12,92.1,95.8,93.33,94.13,93.33,4526280,94.07,94.07,93.33,425803291.7,425803291.7,425803291.7,,3
TQBR,2016-04-22,НЛМК ао,NLMK,12291,401699351.2,93.58,91.01,93.78,92.01,91.97,92.01,4366520,92.0,92.0,92.01,401699351.2,401699351.2,401699351.2,,3
TQBR,2016-04-25,НЛМК ао,NLMK,10386,339524641.5,91.83,91.75,94.45,92.8,93.5,92.8,3630630,93.52,93.52,92.8,339524641.5,339524641.5,339524641.5,,3
TQBR,2016-04-26,НЛМК ао,NLMK,12153,412427078.3,93.8,90.31,93.8,92.05,91.83,92.05,4491930,91.82,91.82,92.05,412427078.3,412427078.3,412427078.3,,3
TQBR,2016-04-27,НЛМК ао,NLMK,8633,239163058.3,92.05,90.12,92.37,90.3,90.72,90.3,2636670,90.71,90.71,90.3,239163058.3,239163058.3,239163058.3,,3
TQBR,2016-04-28,НЛМК ао,NLMK,8696,274173179.7,90.13,87.81,91.16,88.3,88.8,88.3,3092090,88.67,88.67,88.3,274173179.7,274173179.7,274173179.7,,3
TQBR,2016-04-29,НЛМК ао,NLMK,9066,308136760.7,88.5,85.75,89.4,89.25,87.06,89.25,3540290,87.04,87.04,89.25,308136760.7,308136760.7,308136760.7,,3
TQBR,2016-05-04,НЛМК ао,NLMK,19897,594771085.4,87.37,83.5,88.9,83.65,84.77,83.65,7017040,84.76,84.76,83.65,594771085.4,594771085.4,594771085.4,,3
TQBR,2016-05-05,НЛМК ао,NLMK,10841,468183041.0,83.97,81.79,85.0,84.19,83.47,84.19,5613060,83.41,83.41,84.19,468183041.0,468183041.0,468183041.0,,3
TQBR,2016-05-06,НЛМК ао,NLMK,9916,309460478.2,84.2,83.26,87.25,87.1,85.8,87.1,3605650,85.83,85.83,87.1,309460478.2,309460478.2,309460478.2,,3
TQBR,2016-05-10,НЛМК ао,NLMK,9967,322059835.2,86.41,82.35,87.33,83.4,84.44,83.4,3815260,84.41,84.41,83.4,322059835.2,322059835.2,322059835.2,,3
TQBR,2016-05-11,НЛМК ао,NLMK,7778,295900376.6,83.59,83.0,86.1,84.86,84.43,84.86,3504290,84.44,84.44,84.86,295900376.6,295900376.6,295900376.6,,3
