BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-09-28,Новатэк ао,NVTK,3843,433363129.0,664.4,660.2,675.0,670.5,670.3,670.5,646560,670.3,670.3,670.5,433363129.0,433363129.0,433363129.0,,3
TQBR,2016-09-29,Новатэк ао,NVTK,4645,588252621.0,675.7,667.6,681.8,678.5,676.6,678.5,869470,676.6,676.6,678.5,588252621.0,588252621.0,588252621.0,,3
TQBR,2016-09-30,Новатэк ао,NVTK,3743,442544382.0,676.6,670.8,686.1,682.5,678.5,682.5,652230,678.5,678.5,682.5,442544382.0,442544382.0,442544382.0,,3
TQBR,2016-10-03,Новатэк ао,NVTK,4219,408224831.0,682.2,665.7,682.6,674.0,672.7,674.0,606840,672.7,672.7,674.0,408224831.0,408224831.0,408224831.0,,3
TQBR,2016-10-04,Новатэк ао,NVTK,4229,425455616.0,675.0,666.3,675.7,673.6,671.1,673.6,633880,671.2,671.2,673.6,425455616.0,425455616.0,425455616.0,,3
TQBR,2016-10-05,Новатэк ао,NVTK,5082,559353680.0,670.5,659.2,670.5,669.0,663.0,669.0,843840,662.9,662.9,669.0,559353680.0,559353680.0,559353680.0,,3
TQBR,2016-10-06,Новатэк ао,NVTK,2443,206951727.0,666.6,660.1,668.0,667.0,664.5,667.0,311440,664.5,664.5,667.0,206951727.0,206951727.0,206951727.0,,3
TQBR,2016-10-07,Новатэк ао,NVTK,4625,498369641.0,667.7,666.1,678.3,674.1,674.6,674.1,738800,674.6,674.6,674.1,498369641.0,498369641.0,498369641.0,,3
TQBR,2016-10-10,Новатэк ао,NVTK,3550,346376134.0,670.2,665.6,675.6,674.5,671.6,674.5,515720,671.6,671.6,674.5,346376134.0,346376134.0,346376134.0,,3
TQBR,2016-10-11,Новатэк ао,NVTK,3567,419925015.0,669.6,669.5,684.4,681.3,680.9,681.3,616700,680.9,680.9,681.3,419925015.0,419925015.0,419925015.0,,3
